IdProduto;NomeProduto;IdProdutoSubcategoria;Marca;Classe;Cor
842;Contoso Bright Light battery E20 Black;22;Contoso;Economy;Black
843;Contoso Bright Light battery E20 blue;22;Contoso;Economy;Blue
844;Contoso Bright Light battery E20 Pink;22;Contoso;Economy;Pink
845;Contoso Bright Light battery E20 White;22;Contoso;Economy;White
846;Contoso Ultraportable Neoprene Sleeve E30 Black;22;Contoso;Economy;Black
847;Contoso Ultraportable Neoprene Sleeve E30 Pink;22;Contoso;Economy;Pink
848;Contoso Ultraportable Neoprene Sleeve E30 Yellow;22;Contoso;Economy;Yellow
849;Contoso Ultraportable Neoprene Sleeve E30 Green;22;Contoso;Economy;Green
850;Contoso Laptop Keyboard X105 Black;22;Contoso;Deluxe;Black
851;Contoso Laptop Keyboard X105 White;22;Contoso;Deluxe;White
852;Contoso Laptop Keyboard X105 Brown;22;Contoso;Deluxe;Brown
853;Contoso Laptop Keyboard X105 Silver;22;Contoso;Deluxe;Silver
854;Contoso Multimedia Speakers M25 Brown;22;Contoso;Regular;Brown
855;Contoso Multimedia Speakers M25 Blue;22;Contoso;Regular;Blue
856;Contoso Multimedia Speakers M25 Black;22;Contoso;Regular;Black
857;Contoso Multimedia Speakers M25 White;22;Contoso;Regular;White
858;Contoso Wireless Notebook Optical Mouse M35 Black;22;Contoso;Regular;Black
859;Contoso Wireless Notebook Optical Mouse M35 White;22;Contoso;Regular;White
860;Contoso Wireless Notebook Optical Mouse M35 Blue;22;Contoso;Regular;Blue
861;Contoso Wireless Notebook Optical Mouse M35 Silver;22;Contoso;Regular;Silver
862;Contoso Wireless Notebook Optical Mouse M35 Orange;22;Contoso;Regular;Orange
863;Contoso Optical USB Mouse M45 Black;22;Contoso;Regular;Black
864;Contoso Optical USB Mouse M45 White;22;Contoso;Regular;White
865;Contoso Optical USB Mouse M45 Grey;22;Contoso;Regular;Grey
866;Contoso Wireless Laser Mouse M55 Black;22;Contoso;Regular;Black
867;Contoso Wireless Laser Mouse M55 White;22;Contoso;Regular;White
868;Contoso Wireless Laser Mouse M55 Grey;22;Contoso;Regular;Grey
869;Contoso Wireless Laser Mouse M55 Silver;22;Contoso;Regular;Silver
870;Contoso Wireless Laser Mouse E50 Black;22;Contoso;Economy;Black
871;Contoso Wireless Laser Mouse E50 White;22;Contoso;Economy;White
872;Contoso Wireless Laser Mouse E50 Silver;22;Contoso;Economy;Silver
873;Contoso Wireless Laser Mouse E50 Grey;22;Contoso;Economy;Grey
874;Contoso Wireless Notebook Optical Mouse X205 Black;22;Contoso;Deluxe;Black
875;Contoso Wireless Notebook Optical Mouse X205 White;22;Contoso;Deluxe;White
876;Contoso Wireless Notebook Optical Mouse X205 Blue;22;Contoso;Deluxe;Blue
877;Contoso Wireless Notebook Optical Mouse X205 Silver;22;Contoso;Deluxe;Silver
878;Contoso Wireless Notebook Optical Mouse X205 Orange;22;Contoso;Deluxe;Orange
879;Contoso Optical Wheel OEM PS/2 Mouse E60 Grey;22;Contoso;Economy;Grey
880;Contoso Optical Wheel OEM PS/2 Mouse E60 Black;22;Contoso;Economy;Black
881;Contoso Optical Wheel OEM PS/2 Mouse E60 White;22;Contoso;Economy;White
882;Contoso Optical Wheel OEM PS/2 Mouse E60 Silver;22;Contoso;Economy;Silver
883;Contoso Bluetooth Notebook Mouse X305 Black;22;Contoso;Deluxe;Black
884;Contoso Bluetooth Notebook Mouse X305 White;22;Contoso;Deluxe;White
885;Contoso Bluetooth Notebook Mouse X305 Silver;22;Contoso;Deluxe;Silver
886;Contoso Bluetooth Notebook Mouse X305 Grey;22;Contoso;Deluxe;Grey
